name,price,url
Подвесной светильник Ферум Orange,7340,https://www.divan.ru/product/podvesnoj-svetilnik-ferum-orange
Светильник потолочный Ринга Black,3670,https://www.divan.ru/product/svetilnik-potolochnyj-ringa-black
Торшер Бьйорк White,12 490,https://www.divan.ru/product/torsher-bjork-white
Подвесной светильник Тубули-5 Wood,13 960,https://www.divan.ru/product/podvesnoj-svetilnik-tubuli-5-wood
Бра Смастен White,7340,https://www.divan.ru/product/bra-smasten-white
Настольная лампа Арвика Wood,8810,https://www.divan.ru/product/nastolnaya-lampa-arvika-wood
Подвесной светильник Инлада Wood,10 280,https://www.divan.ru/product/podvesnoj-svetilnik-inlada-wood
Подвесной светильник Намсен Black,11 750,https://www.divan.ru/product/podvesnoj-svetilnik-namsen-black
Торшер Алней-2 White,10 280,https://www.divan.ru/product/torsher-alnej-2-white
Люстра Ливсден Brown,27 920,https://www.divan.ru/product/lyustra-livsden-brown
Подвесной светильник Гронтри-1 Wood,14 690,https://www.divan.ru/product/podvesnoj-svetilnik-grontri-1-wood
Бра Бракетт White,7340,https://www.divan.ru/product/bra-brakett-white
Подвесной светильник Отра Wood,18 370,https://www.divan.ru/product/podvesnoj-svetilnik-otra-wood
Торшер Алней-2 Black,10 280,https://www.divan.ru/product/torsher-alnej-2-black
Светильник потолочный Орхус White,24 980,https://www.divan.ru/product/svetilnik-potolochnyj-orhus-white
Подвесной светильник Рена Green,5140,https://www.divan.ru/product/podvesnoj-svetilnik-rena-green
Светильник потолочный Ринга White,3960,https://www.divan.ru/product/svetilnik-potolochnyj-ringa-white
Настольная лампа Логмар Black,10 280,https://www.divan.ru/product/nastolnaya-lampa-logmar-black
Бра Берит Black,8810,https://www.divan.ru/product/bra-berit-black
Подвесной светильник Кронор Black,11 750,https://www.divan.ru/product/podvesnoj-svetilnik-kronor-black
Настольная лампа Бьйорк White,5870,https://www.divan.ru/product/nastolnaya-lampa-bjork-white
Подвесной светильник Селау-2 Glass,5140,https://www.divan.ru/product/podvesnoj-svetilnik-selau-2-glass
Торшер Алней-2 Green,10 280,https://www.divan.ru/product/torsher-alnej-2-green
Подвесной светильник Джамби Rattan,14 690,https://www.divan.ru/product/podvesnoj-svetilnik-djambi-rattan
Бра Пинна Black,7340,https://www.divan.ru/product/bra-pinna-black
Подвесной светильник Бьйорк White,8080,https://www.divan.ru/product/podvesnoj-svetilnik-bjork-white
